Gene,Combined_Score,Clinical Trials,Hpa,Heatmap,Vital,Non Vital,Protein Vital,Protein Non Vital
SPEN,7.009969837993741,0.0,0.0,-0.5549691453491092,15.63489375,26.3712287511871,3.4262922771581823,3.825105958161717
ARID3A,7.009850643848316,0.0,0.0,-0.5287976723357455,2.33866775,5.93531324026591,3.6314704966874713,4.01635636194291
OTUD5,7.009517276848032,0.0,0.0,-0.5649915724535794,48.364775,57.0663299620133,3.3887119599187594,3.5120425062937937
RBM39,7.008102703054549,0.0,0.0,-0.2722352104971497,65.98565,135.294043637227,5.310558657358932,5.127979204608815
SIK3,7.007929746393239,0.0,5.0,-1.2542422835044549,23.885188125,19.6075984140551,4.099412810177111,3.980161018819485
TNFAIP8L1,7.00769940714653,0.0,0.0,-0.479735517419208,4.25644375,6.6615081291548,3.976113599765184,4.294925690909055
HTATIP2,7.007643369272255,0.0,5.0,-1.1371097344276455,11.833350625,28.7962562250712,4.815664462846609,4.85105285013359
ZRANB1,7.006194762780591,0.0,0.0,-0.5560997685129219,17.54498375,26.884350351377,3.343234670779259,4.013328517465379
UBE2D1,7.005751952146554,0.0,7.0,-1.351896048067997,11.684775,16.3674449667616,5.548994764831349,5.284439024352145
FBXO30,7.00493312445987,0.0,0.0,-0.4651163864762175,3.045194375,7.38905973884141,4.356767617444253,3.869279772329456
ING2,7.004040685651365,0.0,0.0,-0.5348212275027926,8.77976875,17.0289802469136,3.736956555186071,3.732033559602782
EIF3H,7.003352558126034,0.0,0.0,-0.3033372212693956,40.56791875,80.3344305318139,5.097667470546901,5.229446165764594
MRPL32,7.0030476064384475,0.0,0.0,-0.3770125970079039,14.38632125,25.9602121035138,4.847015856639751,4.529804828073783
AIP,7.002852662886632,24.0,0.0,-0.8525027164030048,65.63100625,92.8375622507123,4.900641202099663,5.172702041395714
ANKRD40,7.002806692847874,0.0,0.0,-0.4561960610061014,57.08141875,29.9210919990503,4.272656985469817,3.9453590810424006
IRF2BP2,7.00095174607434,0.0,0.0,-0.3911678449392248,34.002875,67.3549128679962,4.529435150324008,4.760112890331808
PEX5,7.000866783153004,0.0,0.0,-0.4110201923576331,28.20407,28.5933219230769,4.565547894119186,4.3982337129089455
LGALSL,7.000190080730904,0.0,0.0,-0.2896915932971726,8.97272875,17.3799808926876,5.533544321331914,4.924142191574995
ALDH1B1,6.999510443049405,0.0,0.0,-0.2918304674695278,4.70967875,43.8069951115859,5.162985301605905,5.603623770918232
MAML1,6.9988733250673985,0.0,0.0,-0.5051946448890731,9.0195075,17.5677977540361,4.135148261147918,3.5871716057502816
POLR2C,6.997943665430815,0.0,0.0,-0.3484080167721242,39.6746125,57.0323102089269,4.851204755368694,4.975252058766642
PRKAA1,6.997929701045093,19.0,0.0,-0.7687698387100916,12.46749625,32.7772397625831,4.919401776890422,5.033472426428064
BCL7B,6.997525943583299,0.0,0.0,-0.494536937029758,40.57993125,50.3674740740741,3.708054646377659,4.452050659311124
ZNFX1,6.997129317769979,0.0,0.0,-0.5261839550294856,9.447749375,18.7057506125356,3.8948091483297222,3.682436284507237
