Gene,Malignant_Percent,NonMalignant_Percent,Z_Score
RAB12,23.215455753786248,33.503879455751715,-0.8008820264076831
MXRA7,18.36025984237228,28.336894186438773,-0.8020940629161752
GPCPD1,25.9280753318232,36.45001686719892,-0.8034409492715004
PPP2R5C,46.62279798566,58.57415945125379,-0.8037548395558478
SDCBP,65.26480333976075,78.5168109749241,-0.8047473858761212
HMGB1,72.67817361514125,86.4725064657596,-0.8065112172572975
SIVA1,24.636351723234178,35.128752951759814,-0.8066771722871977
C9orf78,24.719658535672163,35.21871134600247,-0.806727394130109
DCXR,20.53653331336466,30.760148431350498,-0.8074003039301826
VCAN,13.35155474848831,23.085572922523333,-0.8076558411798371
ARL8B,41.22657580919932,52.878668615765214,-0.8076803560300345
MAPK1IP1L,35.8986839395698,47.20566737883729,-0.8088486671557055
MOB2,17.209877005447705,27.234903856966152,-0.8090513441046969
SLC31A2,5.4842091469008,14.71381985831553,-0.8096642894279683
ZBTB2,8.21554935694629,17.63746767120207,-0.8099047968470084
KCTD12,4.1026265046707975,13.285730349713257,-0.8123121635059067
TNS1,19.82421326543984,30.11357247273136,-0.8136601542997012
CITED2,12.489469644495198,22.27594737433937,-0.8137530327140121
CIB1,22.436677462231124,32.90790509389407,-0.8137773022873657
CASP3,17.038583222569596,27.139323063083324,-0.8138245985999025
KIAA0040,4.618379916505981,13.876082311930732,-0.8144461821185959
RNF19A,45.08302600295786,57.14606994265152,-0.8156261535699849
ABLIM1,15.729075013572459,25.77307995052288,-0.8156440082185638
ACTR3,51.85053447404384,64.40458787810638,-0.8170144098105157
RPN1,37.26529007619297,48.81929607556505,-0.8171958119143783
U2AF1,17.640451541644044,27.858990217024626,-0.817992156512411
CSF1,4.471422955238969,13.797368716968403,-0.8187206089229225
GINM1,22.033247842447164,32.58180591476442,-0.8195099836280277
AP2M1,28.116517213621133,39.09816709771731,-0.8203065358196122
MS4A7,3.5176067544040284,12.813448779939279,-0.8206579523805347
ATP1B3,64.34655633974204,77.8308782188238,-0.8208670339730806
DCUN1D3,3.6486511784637847,12.965253570223773,-0.8212987005235841
RCN3,3.6233783252522604,12.948386371303272,-0.821852104782133
TMEM59,49.93260572476927,62.45361520296863,-0.8224096020386438
CMPK1,35.53831177340547,47.07072978747329,-0.8224993411602959
PLEKHB2,32.243480539903025,43.57359721128978,-0.8238283831482631
MLF2,28.8410056723515,39.96401664230294,-0.8252993099613524
EAF1,10.990883052211844,20.915326661419094,-0.8269036300248205
IRF7,10.848606248946965,20.7635218711346,-0.8269178006938089
GRINA,28.133365782428815,39.244349488361635,-0.8272989041955333
CDK9,11.94563528464721,21.95547059484988,-0.827978920227991
HSPA13,13.989928299979407,24.148206454514785,-0.8284048953467852
ACTR1A,19.357133496826854,29.888676487124705,-0.8286250206531256
RYBP,35.21257277645694,46.84021140222647,-0.8289164247727333
SNRPF,28.091244360409608,39.23872708872146,-0.829448128717829
RAB14,33.251586573562726,44.76554593500506,-0.8300742766110768
SAMD8,19.94028118389277,30.552119644664344,-0.8308168996905773
SULF2,6.8255424303124475,16.541099741369617,-0.8311404003818472
MFSD2A,6.956586854372205,16.70414933093444,-0.8323945905705868
NAA50,40.92985379186401,53.024851006409534,-0.832955874575342
KLF16,6.463298200947263,16.20375576295963,-0.8338582706993469
CHMP1B,19.472265383679353,30.11919487237153,-0.8344876647663958
CKB,11.638616919707209,21.769931406724393,-0.835758240669795
RBX1,40.137035026302485,52.25458225570674,-0.8371614472618683
LYZ,3.6271224516539675,13.240751152591926,-0.8375832916994088
CCDC88C,6.530692476177996,16.355560553244125,-0.8382102254439433
SIAH2,14.053578448808432,24.401214438322278,-0.8384961347732762
DEDD2,8.99245558530056,19.00371078376251,-0.83913945423247
DOCK2,7.809311642361045,17.744293264365233,-0.8394187266497672
MECP2,48.3011026452253,61.02552569436636,-0.8396294196844223
CDC42EP3,32.920231387011626,44.591251546159896,-0.839886029857986
MCTP1,18.048561319430146,28.70235016304959,-0.8402049264351663
KMT2E,72.61452346631222,87.02912403013606,-0.8405878051205278
SF3B2,42.633431304640844,54.99831328010794,-0.8412856004349811
KDELR1,33.961098526686264,45.732598673113685,-0.8414612542467493
SLC39A14,23.842596926072225,34.94321376363432,-0.8428363079173032
HMGA1,27.25536814122845,38.609018329022824,-0.8438322490882986
GSK3A,14.925023868805813,25.435735972112898,-0.8441220184762146
AKR1B1,12.862946253065505,23.237377712807827,-0.8444262771203015
IL1RN,5.095756032723664,14.938715843922187,-0.8445824059247519
PHF11,12.81708070464459,23.220510513887326,-0.8461803658675864
IST1,36.54735383866559,48.61688968851906,-0.8480140824946933
TWSG1,16.459179661905385,27.150567862363655,-0.8482209360332066
CREBRF,34.70805174382687,46.677161812661645,-0.8494382850842486
ZNF581,12.10476065671977,22.528955358146856,-0.8499864480543426
ZC3HAV1,34.7717018926559,46.76149780726414,-0.8503278938253805
DGKE,5.227736488383848,15.186101428089508,-0.850382834888501
ANKLE2,35.7695115787109,47.84662093781626,-0.8513464300985023
ZNRF2,23.53651459273265,34.78578657370966,-0.8520946569056636
NR3C1,50.01684856880768,63.08894636230743,-0.8521571865298787
AIP,14.192111125671602,24.806027212414257,-0.8525027164030048
GABPB1,19.43482411966228,30.41155965366018,-0.8526202206611431
