Gene,Combined_Score,Clinical Trials,Hpa,Heatmap,Vital,Non Vital,Protein Vital,Protein Non Vital
CATSPER2,8.75374706655208,0.0,10.0,0.691694036643384,0.0,0.0,0.0,3.8057501267433023
CD47,8.753412258135853,32.0,10.0,0.0152367998460793,34.570241875,29.5933746296296,5.330722350790093,5.354227309837532
EBPL,8.750754457819776,18.0,5.0,0.4430513358127251,10.849855,32.3939932716049,0.0,3.4641047996816896
NUMB,8.750196818344143,25.0,10.0,0.4972453748989165,14.20126,29.588278328585,4.6142096731470525,4.842164847943799
CD37,8.749700865522712,32.0,10.0,-0.9800900257674672,7.5231925,31.6732554510921,4.8136456146507305,4.627065670141987
PTK2B,8.749527039578302,32.0,10.0,-1.8959006030967824,63.640535,31.3792628252612,3.958524588192377,4.299819197442369
GPR153,8.748896498811582,0.0,8.0,0.2574932879226428,6.4874629375,11.4812520094967,0.0,0.0
HBEGF,8.747410632838157,33.0,8.0,-0.790323659851966,17.026668125,20.2540968850902,4.005111909901495,4.030795416951395
ADAM10,8.746725221711735,23.0,10.0,1.0487384142264131,0.0,0.0,4.780794255390259,4.857622756963653
CNIH3,8.744960709751197,0.0,8.0,2.426565903624935,2.719427625,1.12109279297246,0.0,4.20191407713294
CLN3,8.743658266616078,23.0,8.0,0.5044046040455294,5.9785025,14.1258244729345,3.1321516346575726,4.076308384698424
ABCB1,8.74210798591194,25.0,10.0,-0.3013457431623907,7.7033640625,8.87729643162393,4.370181501845889,3.921813187809249
ATF6,8.739863103313523,20.0,5.0,-0.1297730315152236,8.458765,16.6799200332384,0.0,3.334256235922307
