Gene,Combined_Score,Clinical Trials,Hpa,Heatmap,Vital,Non Vital,Protein Vital,Protein Non Vital
TRIB2,15.946098592860434,0.0,5.0,1.5770976552322593,20.76415,38.1707497863248,0.0,0.0
GPR153,15.940283694684634,0.0,8.0,0.2574932879226428,6.4874629375,11.4812520094967,0.0,0.0
ZNF783,15.913887577831028,0.0,7.0,0.5646963629028746,8.688355,16.217695954416,0.0,0.0
SLC16A5,15.912364679918795,0.0,8.0,0.1312592209216505,3.47757225,12.0830912184236,0.0,0.0
TSPAN17,15.889321824438092,0.0,8.0,0.1513964403725292,18.000974375,24.031047288699,0.0,0.0
SOCS7,15.88684563864379,0.0,7.0,0.5125467937804216,18.59429,10.7080267283951,0.0,0.0
SLC31A2,15.875571155132356,0.0,10.0,-0.8096642894279683,2.5067436875,2.66101965052232,0.0,0.0
STIL,15.873311339760068,33.0,5.0,0.2014436517044097,0.6579204375,1.99249649192783,0.0,2.6262805657678485
IFNGR2,15.871499983711615,0.0,8.0,0.1282114391005944,20.08886875,44.6376613960114,0.0,0.0
AXIN2,15.867851680196564,26.0,7.0,-0.0240267119060919,7.6113275,13.4203354677113,0.0,2.372582587332909
C3orf14,15.865016517772254,0.0,7.0,0.3781132843358246,12.4342139375,3.68224490408357,0.0,0.0
ZNF671,15.858951353309527,28.0,0.0,-0.0579096234549593,7.9659575,6.05523125356125,0.0,0.0
ORAI2,15.855830316826733,0.0,8.0,-0.0567303522070531,9.832051125,7.10035260351377,0.0,0.0
ACER3,15.847140853677926,0.0,5.0,1.0021590039487354,0.0,0.0,0.0,0.0
ZNF839,15.846905527410543,0.0,7.0,0.2543676451804251,3.0413,6.88041726020893,0.0,0.0
ZNF177,15.846108953304615,27.0,0.0,-0.0389365029131829,2.1878645625,2.23629965764482,0.0,0.0
CHRNA6,15.84372173860181,0.0,8.0,-0.1747776154703914,0.2456090075,0.0605114565859449,0.0,0.0
HCN3,15.834736550723841,0.0,8.0,-0.1350764641612197,10.449577375,6.93835498717949,0.0,0.0
ZNF582,15.832708944633719,28.0,0.0,-0.1990654014593129,2.49107125,2.86678028490029,0.0,0.0
TMEM170B,15.832150845350867,0.0,8.0,-0.1642470140511603,8.232195625,3.62491825973409,0.0,0.0
PRRG2,15.829445532499891,0.0,8.0,-0.2171487707517674,0.7496755625,6.26221892165242,0.0,0.0
TMEM229B,15.827413326065717,0.0,5.0,0.925531820244116,0.0,0.0,0.0,0.0
NLGN4Y,15.820510126915616,0.0,8.0,-0.24925878108698,2.45563880625,1.2516010087132,0.0,0.0
MLLT10,15.820200042099925,32.0,5.0,1.4901947386691394,8.660984375,19.5239271367521,0.0,3.8724213029514343
TMEM218,15.815565877905748,0.0,7.0,0.1673735959283165,6.58229625,14.7878682763533,0.0,0.0
TMEM8B,15.815234056615944,0.0,8.0,-0.1347207702983658,18.025253125,24.9724070987654,0.0,0.0
P2RY14,15.814014921195529,0.0,8.0,-0.2725726132909829,2.27576,3.14569714411206,0.0,0.0
ENC1,15.797688837152418,0.0,7.0,0.420072884556727,59.75705,9.06412010921178,0.0,0.0
ZNF571,15.790493860750516,0.0,7.0,0.0187341891849187,1.6044884375,2.16241797958215,0.0,0.0
LMBR1L,15.781534927007367,0.0,8.0,-0.257067473994891,17.103259375,33.8902330721747,0.0,0.0
BTN2A2,15.780013856194154,0.0,5.0,0.7414191449638197,0.0,0.0,0.0,0.0
STEAP1B,15.773985893899246,0.0,5.0,0.7180048690739939,0.0,0.0,0.0,0.0
